"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"COLONIA ALEMANA";3228;1;"3228-1";"";"INSERT INTO tbl_localidades VALUES ('3228-1', 'COLONIA ALEMANA(3228-1)', NOW(), NOW(), '1', '1', 'Localidad COLONIA ALEMANA(3228-1)', 0, '1', 'COLONIA ALEMANA', 3228, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"LA FLORIDA";3228;2;"3228-2";"";"INSERT INTO tbl_localidades VALUES ('3228-2', 'LA FLORIDA(3228-2)', NOW(), NOW(), '1', '1', 'Localidad LA FLORIDA(3228-2)', 0, '1', 'LA FLORIDA', 3228, 2, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"COLONIA CELINA";3228;3;"3228-3";"";"INSERT INTO tbl_localidades VALUES ('3228-3', 'COLONIA CELINA(3228-3)', NOW(), NOW(), '1', '1', 'Localidad COLONIA CELINA(3228-3)', 0, '1', 'COLONIA CELINA', 3228, 3, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"COLONIA PEÑA";3229;0;"3229-0";"";"INSERT INTO tbl_localidades VALUES ('3229-0', 'COLONIA PEÑA(3229-0)', NOW(), NOW(), '1', '1', 'Localidad COLONIA PEÑA(3229-0)', 0, '1', 'COLONIA PEÑA', 3229, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"SAN PEDRO";3229;1;"3229-1";"";"INSERT INTO tbl_localidades VALUES ('3229-1', 'SAN PEDRO(3229-1)', NOW(), NOW(), '1', '1', 'Localidad SAN PEDRO(3229-1)', 0, '1', 'SAN PEDRO', 3229, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"VILLA DEL ROSARIO";3229;2;"3229-2";"3229-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3229-0' WHERE loc_cpos = 3229 AND loc_scpo = 2;"
"VILLA DOMINGUEZ";3230;0;"3230-0";"3230-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3230-0' WHERE loc_cpos = 3230 AND loc_scpo = 0;"
"VILLAGUAY";3240;0;"3240-0";"3240-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3240-0' WHERE loc_cpos = 3240 AND loc_scpo = 0;"
"VILLA CLARA";3246;0;"3246-0";"3246-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3246-0' WHERE loc_cpos = 3246 AND loc_scpo = 0;"
"VILLA SAN MARCIAL";3248;0;"3248-0";"3248-1*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3248-1' WHERE loc_cpos = 3248 AND loc_scpo = 0;"
"SAN MARCIAL";3248;1;"3248-1";"3248-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3248-1' WHERE loc_cpos = 3248 AND loc_scpo = 1;"
"LAS MOSCAS";3248;2;"3248-2";"3248-2";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3248-2' WHERE loc_cpos = 3248 AND loc_scpo = 2;"
"SANTA ANITA";3252;0;"3252-0";"3252-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3252-0' WHERE loc_cpos = 3252 AND loc_scpo = 0;"
"LIBERTADOR SAN MARTIN";3254;0;"3254-0";"3254-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3254-0' WHERE loc_cpos = 3254 AND loc_scpo = 0;"
"COSTA GRANDE";3254;1;"3254-1";"";"INSERT INTO tbl_localidades VALUES ('3254-1', 'COSTA GRANDE(3254-1)', NOW(), NOW(), '1', '1', 'Localidad COSTA GRANDE(3254-1)', 0, '1', 'COSTA GRANDE', 3254, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"COLON";3260;0;"3260-0";"3280-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3280-0' WHERE loc_cpos = 3260 AND loc_scpo = 0;"
"CONCEPCION DEL URUGUAY";3260;1;"3260-1";"3260-0*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3260-0' WHERE loc_cpos = 3260 AND loc_scpo = 1;"
"CASEROS";3262;0;"3262-0";"3262-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3262-0' WHERE loc_cpos = 3262 AND loc_scpo = 0;"
"SAN JUSTO";3262;1;"3262-1";"3262-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3262-1' WHERE loc_cpos = 3262 AND loc_scpo = 1;"
"PRONUNCIAMIENTO";3263;0;"3263-0";"3263-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3263-0' WHERE loc_cpos = 3263 AND loc_scpo = 0;"
"1 DE MAYO";3263;1;"3263-1";"";"INSERT INTO tbl_localidades VALUES ('3263-1', '1 DE MAYO(3263-1)', NOW(), NOW(), '1', '1', 'Localidad 1 DE MAYO(3263-1)', 0, '1', '1 DE MAYO', 3263, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"VILLA ELISA";3265;0;"3265-0";"3265-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3265-0' WHERE loc_cpos = 3265 AND loc_scpo = 0;"
"ESTACIÓN HERRERA";3272;0;"3272-0";"3272-0*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3272-0' WHERE loc_cpos = 3272 AND loc_scpo = 0;"
"SAN JOSE";3280;0;"3280-0";"3280-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3280-0' WHERE loc_cpos = 3280 AND loc_scpo = 0;"
"PUEBLO LIEBIG";3281;0;"3281-0";"3281-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3281-0' WHERE loc_cpos = 3281 AND loc_scpo = 0;"
"COLONIA HUGUES";3281;1;"3281-1";"";"INSERT INTO tbl_localidades VALUES ('3281-1', 'COLONIA HUGUES(3281-1)', NOW(), NOW(), '1', '1', 'Localidad COLONIA HUGUES(3281-1)', 0, '1', 'COLONIA HUGUES', 3281, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"COLONIA ARROYO URQUIZA";3281;2;"3281-2";"";"INSERT INTO tbl_localidades VALUES ('3281-2', 'COLONIA ARROYO URQUIZA(3281-2)', NOW(), NOW(), '1', '1', 'Localidad COLONIA ARROYO URQUIZA(3281-2)', 0, '1', 'COLONIA ARROYO URQUIZA', 3281, 2, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"UBAJAY";3283;0;"3283-0";"3283-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3283-0' WHERE loc_cpos = 3283 AND loc_scpo = 0;"
"ARROYO BARU";3285;0;"3285-0";"3285-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3285-0' WHERE loc_cpos = 3285 AND loc_scpo = 0;"
