"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"MEDANOS";2846;1;"2846-1";"";"INSERT INTO tbl_localidades VALUES ('2846-1', 'MEDANOS(2846-1)', NOW(), NOW(), '1', '1', 'Localidad MEDANOS(2846-1)', 0, '1', 'MEDANOS', 2846, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ENRIQUE CARBO";2852;0;"2852-0";"2852-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2852-0' WHERE loc_cpos = 2852 AND loc_scpo = 0;"
"LARROQUE";2854;0;"2854-0";"2854-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2854-0' WHERE loc_cpos = 2854 AND loc_scpo = 0;"
"PARANA";3100;0;"3100-0";"3100-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3100-0' WHERE loc_cpos = 3100 AND loc_scpo = 0;"
"ORO VERDE";3100;1;"3100-1";"3100-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3100-1' WHERE loc_cpos = 3100 AND loc_scpo = 1;"
"COLONIA AVELLANEDA";3100;2;"3100-2";"3100-2";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3100-2' WHERE loc_cpos = 3100 AND loc_scpo = 2;"
"SAN BENITO";3100;3;"3100-3";"3107-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3107-0' WHERE loc_cpos = 3100 AND loc_scpo = 3;"
"ALDEA VALLE MARIA";3101;0;"3101-0";"3101-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-0' WHERE loc_cpos = 3101 AND loc_scpo = 0;"
"PUERTO ALVEAR";3101;1;"3101-1";"";"INSERT INTO tbl_localidades VALUES ('3101-1', 'PUERTO ALVEAR(3101-1)', NOW(), NOW(), '1', '1', 'Localidad PUERTO ALVEAR(3101-1)', 0, '1', 'PUERTO ALVEAR', 3101, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"PUERTO LAS CUEVAS";3101;2;"3101-2";"3101-5*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-5' WHERE loc_cpos = 3101 AND loc_scpo = 2;"
"ALDEA PROTESTANTE";3101;3;"3101-3";"3101-2";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-2' WHERE loc_cpos = 3101 AND loc_scpo = 3;"
"ALDEA SPATZENKUTTER";3101;4;"3101-4";"3101-4";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-4' WHERE loc_cpos = 3101 AND loc_scpo = 4;"
"ALDEA SALTO";3101;5;"3101-5";"3101-3";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-3' WHERE loc_cpos = 3101 AND loc_scpo = 5;"
