loc_cpos;loc_scpo;name;id;name_sin_cp;sinonimos
3131;0;"TEZANOS PINTO (3131-0)";3131-0;"TEZANOS PINTO";
3132;0;"ESTACION EL PINGO (3132-0)";3132-0;"ESTACION EL PINGO";
3133;0;"MARIA GRANDE (3133-0)";3133-0;"MARIA GRANDE";
3133;1;"SOSA (3133-1)";3133-1;"SOSA";
3134;0;"HASENKAMP (3134-0)";3134-0;"HASENKAMP";
3135;0;"ALDEA SAN RAFAEL (3135-0)";3135-0;"ALDEA SAN RAFAEL";
3136;0;"PUEBLO BELLOCQ (LAS GARZAS) (3136-0)";3136-0;"PUEBLO BELLOCQ";
3137;0;"EL SOLAR (3137-0)";3137-0;"EL SOLAR";
3138;0;"ALCARAZ (3138-0)";3138-0;"ALCARAZ";
3142;0;"COLONIA AVIGDOR (3142-0)";3142-0;"COLONIA AVIGDOR";
3142;1;"BOVRIL (3142-1)";3142-1;"BOVRIL";
3142;2;"SIR LEONARD (3142-2)";3142-2;"SIR LEONARD";
3144;0;"SAUCE DE LUNA (3144-0)";3144-0;"SAUCE DE LUNA";
3150;0;"NOGOYA (3150-0)";3150-0;"NOGOYA";
3150;1;"ESTACIÓN CAMPS (3150-1)";3150-1;"ESTACIÓN CAMPS";
3151;0;"ANTELO (3151-0)";3151-0;"ANTELO";
3151;1;"FEBRÉ (3151-1)";3151-1;"FEBRÉ";
3153;0;"VICTORIA (3153-0)";3153-0;"VICTORIA";
3155;0;"RINCON DE NOGOYA (3155-0)";3155-0;"RINCON DE NOGOYA";
3156;0;"HERNANDEZ (3156-0)";3156-0;"HERNANDEZ";
3156;1;"BETBEDER (3156-1)";3156-1;"BETBEDER";
3158;0;"20 DE SEPTIEMBRE (3158-0)";3158-0;"20 DE SEPTIEMBRE";
3158;1;"LUCAS GONZALEZ (3158-1)";3158-1;"LUCAS GONZALEZ";
3162;0;"ARANGUREN (3162-0)";3162-0;"ARANGUREN";
3164;0;"GENERAL RAMIREZ (3164-0)";3164-0;"GENERAL RAMIREZ";
3164;1;"DON CRISTÓBAL (3164-1)";3164-1;"DON CRISTÓBAL";
3170;0;"BASAVILBASO (3170-0)";3170-0;"BASAVILBASO";
3170;1;"ESTACION LIBAROS (3170-1)";3170-1;"ESTACION LIBAROS";
3170;2;"ESTACION URQUIZA (3170-2)";3170-2;"ESTACION URQUIZA";
3172;0;"ROCAMORA (3172-0)";3172-0;"ROCAMORA";
3174;0;"ALTAMIRANO SUR (3174-0)";3174-0;"ALTAMIRANO SUR";
3174;1;"LAS GUACHAS (3174-1)";3174-1;"LAS GUACHAS";
3174;2;"ROSARIO DEL TALA (3174-2)";3174-2;"ROSARIO DEL TALA";
3176;0;"GOBERNADOR SOLA (3176-0)";3176-0;"GOBERNADOR SOLA";
3177;0;"MACIA (3177-0)";3177-0;"MACIA";
3177;1;"ESTACION DURAZNO (3177-1)";3177-1;"ESTACION DURAZNO";
3177;2;"ESTACIÓN RAÍCES (3177-2)";3177-2;"ESTACIÓN RAÍCES";
3179;0;"GUARDAMONTE (3179-0)";3179-0;"GUARDAMONTE";
3180;0;"FEDERAL (3180-0)";3180-0;"FEDERAL";
3183;0;"LOS CONQUISTADORES (3183-0)";3183-0;"LOS CONQUISTADORES";
3185;0;"SAN JAIME DE LA FRONTERA (3185-0)";3185-0;"SAN JAIME DE LA FRONTERA";
3187;0;"SAN JOSÉ DE FELICIANO (3187-0)";3187-0;"SAN JOSÉ DE FELICIANO";
3188;0;"CONSCRIPTO BERNARDI (3188-0)";3188-0;"CONSCRIPTO BERNARDI";
3188;1;"ALDEA SAN ISIDRO (EL CIMARRÓN) (3188-1)";3188-1;"ALDEA SAN ISIDRO";
3190;0;"LA PAZ (3190-0)";3190-0;"LA PAZ";
3191;0;"SAN VÍCTOR (3191-0)";3191-0;"SAN VÍCTOR";
3191;1;"SAN GUSTAVO (3191-1)";3191-1;"SAN GUSTAVO";
3192;0;"SANTA ELENA (3192-0)";3192-0;"SANTA ELENA";
