loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
3101;10;PARAJE LA VIRGEN (3101-10);3101-10;PARAJE LA VIRGEN;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.42 con ALDEA PROTESTANTE);
3101;11;ALDEA VALLE MARIA (3101-11);3101-11;ALDEA VALLE MARIA;3101-0;MATCH_EXACTO;Nombre idéntico;ALDEA VALLE MARIA (3101-0)
3101;12;ALDEA BRASILERA (3101-12);3101-12;ALDEA BRASILERA;3101-2;MATCH_EXACTO;Nombre idéntico;ALDEA BRASILERA (3101-2)
3101;13;MOLINO DOLL (3101-13);3101-13;MOLINO DOLL;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.29 con ALDEA VALLE MARIA);
3103;0;VILLA LIBERTADOR SAN MARTÍN (3103-0);3103-0;VILLA LIBERTADOR SAN MARTÍN;3103-0;MATCH_EXACTO;Nombre idéntico;VILLA LIBERTADOR SAN MARTÍN (3103-0)
3105;0;DIAMANTE (3105-0);3105-0;DIAMANTE;3105-0;MATCH_EXACTO;Nombre idéntico;DIAMANTE (3105-0)
3107;0;SAN BENITO (3107-0);3107-0;SAN BENITO;3107-0;MATCH_EXACTO;Nombre idéntico;SAN BENITO (3107-0)
3107;1;SAUCE PINTO (3107-1);3107-1;SAUCE PINTO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.57 con SAN BENITO);
3109;0;QUEBRACHO (3109-0);3109-0;QUEBRACHO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.14 con VIALE);
3109;1;EL RAMBLÓN (3109-1);3109-1;EL RAMBLÓN;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.13 con VIALE);
3109;2;VIALE (3109-2);3109-2;VIALE;3109-0;MATCH_EXACTO;Nombre idéntico;VIALE (3109-0)
3111;0;LAS TUNAS (3111-0);3111-0;LAS TUNAS;3111-2;MATCH_EXACTO;Nombre idéntico;LAS TUNAS (3111-2)
3111;1;TABOSSI (3111-1);3111-1;TABOSSI;3111-1;MATCH_EXACTO;Nombre idéntico;TABOSSI (3111-1)
3113;0;PUEBLO GENERAL SAN MARTÍN (CURTIEMBRE) (3113-0);3113-0;PUEBLO GENERAL SAN MARTÍN;3113-0;SINONIMO_ALIAS;Alias conocido: CURTIEMBRE;CURTIEMBRE (3113-0)
3113;1;VILLA URQUIZA (3113-1);3113-1;VILLA URQUIZA;3113-1;MATCH_EXACTO;Nombre idéntico;VILLA URQUIZA (3113-1)
3114;0;GENERAL RACEDO (EL CARMEN) (ESTACIÓN RACEDO) (3114-0);3114-0;GENERAL RACEDO;3114-2;SINONIMO_ALIAS;Alias conocido: ESTACION RACEDO;ESTACION RACEDO (3114-2)
3114;1;ALDEA GRAPSCHENTAL (3114-1);3114-1;ALDEA GRAPSCHENTAL;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.57 con ALDEA MARIA LUISA);
3114;2;VILLA GDOR. LUIS F. ETCHEVEHERE (3114-2);3114-2;VILLA GDOR. LUIS F. ETCHEVEHERE;3114-1;SINONIMO_PALABRA_CLAVE;Palabra clave: ETCHEVEHERE, GDOR;GDOR. ETCHEVEHERE (3114-1)
3114;3;ALDEA MARIA LUISA (3114-3);3114-3;ALDEA MARIA LUISA;3114-0;MATCH_EXACTO;Nombre idéntico;ALDEA MARIA LUISA (3114-0)
3114;4;VILLA FONTANA (3114-4);3114-4;VILLA FONTANA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.33 con ALDEA MARIA LUISA);
3116;0;ESPINILLO NORTE (3116-0);3116-0;ESPINILLO NORTE;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.38 con CRESPO);
3116;1;ALDEA CHALECO (3116-1);3116-1;ALDEA CHALECO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.21 con CRESPO);
3116;2;ALDEA SANTA ROSA (3116-2);3116-2;ALDEA SANTA ROSA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.27 con CRESPO);
3116;3;CRESPO (3116-3);3116-3;CRESPO;3116-0;MATCH_EXACTO;Nombre idéntico;CRESPO (3116-0)
3117;0;SEGUI (3117-0);3117-0;SEGUI;3117-0;SINONIMO_PREFIJO;Mismo nombre base;VILLA SEGUI (3117-0)
3118;0;COLONIA NUEVA (3118-0);3118-0;COLONIA NUEVA;3118-1;MATCH_EXACTO;Nombre idéntico;COLONIA NUEVA (3118-1)
3118;1;LA PICADA (3118-1);3118-1;LA PICADA;3118-0;MATCH_EXACTO;Nombre idéntico;LA PICADA (3118-0)
3118;2;COLONIA CRESPO (3118-2);3118-2;COLONIA CRESPO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.67 con COLONIA NUEVA);
3118;3;SAUCE MONTRULL (3118-3);3118-3;SAUCE MONTRULL;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.30 con COLONIA NUEVA);
3122;0;EL PALENQUE (3122-0);3122-0;EL PALENQUE;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.11 con CERRITO);
3122;1;CERRITO (3122-1);3122-1;CERRITO;3122-0;MATCH_EXACTO;Nombre idéntico;CERRITO (3122-0)
3123;0;ALDEA SANTA MARÍA (3123-0);3123-0;ALDEA SANTA MARÍA;;SIN_MATCH_CPOS;loc_cpos 3123 no existe en TBL;
3125;0;PUEBLO BRUGO (3125-0);3125-0;PUEBLO BRUGO;3125-0;MATCH_EXACTO;Nombre idéntico;PUEBLO BRUGO (3125-0)
3127;0;HERNANDARIAS (3127-0);3127-0;HERNANDARIAS;3127-0;MATCH_EXACTO;Nombre idéntico;HERNANDARIAS (3127-0)
3127;1;PUERTO ALGARROBO (3127-1);3127-1;PUERTO ALGARROBO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.36 con HERNANDARIAS);
3129;0;PIEDRAS BLANCAS (3129-0);3129-0;PIEDRAS BLANCAS;3129-0;MATCH_EXACTO;Nombre idéntico;PIEDRAS BLANCAS (3129-0)
3131;0;TEZANOS PINTO (3131-0);3131-0;TEZANOS PINTO;;SIN_MATCH_CPOS;loc_cpos 3131 no existe en TBL;
3132;0;ESTACION EL PINGO (3132-0);3132-0;ESTACION EL PINGO;3132-0;MATCH_EXACTO;Nombre idéntico;ESTACION EL PINGO (3132-0)
3133;0;MARIA GRANDE (3133-0);3133-0;MARIA GRANDE;3133-0;MATCH_EXACTO;Nombre idéntico;MARIA GRANDE (3133-0)
3133;1;SOSA (3133-1);3133-1;SOSA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.12 con MARIA GRANDE);
3134;0;HASENKAMP (3134-0);3134-0;HASENKAMP;3134-0;MATCH_EXACTO;Nombre idéntico;HASENKAMP (3134-0)
3135;0;ALDEA SAN RAFAEL (3135-0);3135-0;ALDEA SAN RAFAEL;;SIN_MATCH_CPOS;loc_cpos 3135 no existe en TBL;
3136;0;PUEBLO BELLOCQ (LAS GARZAS) (3136-0);3136-0;PUEBLO BELLOCQ;;SIN_MATCH_CPOS;loc_cpos 3136 no existe en TBL;
3137;0;EL SOLAR (3137-0);3137-0;EL SOLAR;;SIN_MATCH_CPOS;loc_cpos 3137 no existe en TBL;
3138;0;ALCARAZ (3138-0);3138-0;ALCARAZ;3138-0;MATCH_EXACTO;Nombre idéntico;ALCARAZ (3138-0)
3142;0;COLONIA AVIGDOR (3142-0);3142-0;COLONIA AVIGDOR;3142-1;MATCH_EXACTO;Nombre idéntico;COLONIA AVIGDOR (3142-1)
3142;1;BOVRIL (3142-1);3142-1;BOVRIL;3142-0;MATCH_EXACTO;Nombre idéntico;BOVRIL (3142-0)
3142;2;SIR LEONARD (3142-2);3142-2;SIR LEONARD;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.38 con COLONIA AVIGDOR);
3144;0;SAUCE DE LUNA (3144-0);3144-0;SAUCE DE LUNA;3144-0;MATCH_EXACTO;Nombre idéntico;SAUCE DE LUNA (3144-0)
3150;0;NOGOYA (3150-0);3150-0;NOGOYA;3150-0;MATCH_EXACTO;Nombre idéntico;NOGOYA (3150-0)
3150;1;ESTACIÓN CAMPS (3150-1);3150-1;ESTACIÓN CAMPS;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.10 con NOGOYA);
3151;0;ANTELO (3151-0);3151-0;ANTELO;3151-0;MATCH_EXACTO;Nombre idéntico;ANTELO (3151-0)
