loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
3262;0;ESTACION CASEROS (3262-0);3262-0;ESTACION CASEROS;3262-0;MATCH_EXACTO;Nombre idéntico;ESTACION CASEROS (3262-0)
3263;0;PRONUNCIAMIENTO (3263-0);3263-0;PRONUNCIAMIENTO;3263-0;MATCH_EXACTO;Nombre idéntico;PRONUNCIAMIENTO (3263-0)
3263;1;COLONIA 1º DE MAYO (3263-1);3263-1;COLONIA 1º DE MAYO;3263-1;MATCH_EXACTO;Nombre idéntico;COLONIA 1º DE MAYO (3263-1)
3265;0;HOCKER (3265-0);3265-0;HOCKER;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.12 con VILLA ELISA);
3265;1;VILLA ELISA (3265-1);3265-1;VILLA ELISA;3265-0;MATCH_EXACTO;Nombre idéntico;VILLA ELISA (3265-0)
3269;0;LA CLARITA (3269-0);3269-0;LA CLARITA;3269-1;MATCH_EXACTO;Nombre idéntico;LA CLARITA (3269-1)
3269;1;ARROYO BARU (3269-1);3269-1;ARROYO BARU;3269-2;MATCH_EXACTO;Nombre idéntico;ARROYO BARU (3269-2)
3269;2;PUEBLO CAZES (3269-2);3269-2;PUEBLO CAZES;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.36 con LA CLARITA);
3269;3;HAMBIS (3269-3);3269-3;HAMBIS;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.38 con SAN MIGUEL);
3272;0;VILLA MANTERO (3272-0);3272-0;VILLA MANTERO;3272-1;MATCH_EXACTO;Nombre idéntico;VILLA MANTERO (3272-1)
3272;1;ESTACION HERRERA (3272-1);3272-1;ESTACION HERRERA;3272-0;SINONIMO_PREFIJO;Mismo nombre base;HERRERA (3272-0)
3280;0;COLON (3280-0);3280-0;COLON;3280-0;MATCH_EXACTO;Nombre idéntico;COLON (3280-0)
3281;0;COLONIA HUGUES (3281-0);3281-0;COLONIA HUGUES;;SIN_MATCH_CPOS;loc_cpos 3281 no existe en TBL;
3281;1;COLONIA ARROYO URQUIZA (3281-1);3281-1;COLONIA ARROYO URQUIZA;;SIN_MATCH_CPOS;loc_cpos 3281 no existe en TBL;
3283;0;EL BRILLANTE (3283-0);3283-0;EL BRILLANTE;3283-1;MATCH_EXACTO;Nombre idéntico;EL BRILLANTE (3283-1)
3283;1;PUEBLO LIEBIG'S (3283-1);3283-1;PUEBLO LIEBIG'S;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.38 con EL BRILLANTE);
3283;2;SAN JOSE (3283-2);3283-2;SAN JOSE;3283-0;MATCH_EXACTO;Nombre idéntico;SAN JOSE (3283-0)
3287;0;UBAJAY (3287-0);3287-0;UBAJAY;3287-0;MATCH_EXACTO;Nombre idéntico;UBAJAY (3287-0)
