er_loc_cpos;er_loc_scpo;er_name;er_name_sin_cp;tbl_loc_cpos;tbl_loc_scpo;tbl_name;tbl_name_sin_cp
3228;3;COLONIA CELINA (3228-3);COLONIA CELINA;3228;0;CHAJARI (3228-0);CHAJARI
3229;0;COLONIA PEÑA (3229-0);COLONIA PEÑA;3229;0;VILLA DEL ROSARIO (3229-0);VILLA DEL ROSARIO
3229;1;SAN PEDRO (COLONIA FREITAS) (3229-1);SAN PEDRO;3229;0;VILLA DEL ROSARIO (3229-0);VILLA DEL ROSARIO
3229;2;SAN RAMÓN (3229-2);SAN RAMÓN;3229;0;VILLA DEL ROSARIO (3229-0);VILLA DEL ROSARIO
3240;0;VILLAGUAY (3240-0);VILLAGUAY;3240;1;ESTACION LAS MOSCAS (3240-1);ESTACION LAS MOSCAS
3240;1;ESTACION LAS MOSCAS (3240-1);ESTACION LAS MOSCAS;3240;0;VILLAGUAY (3240-0);VILLAGUAY
3246;0;INGENIERO MIGUEL SAJAROFF (3246-0);INGENIERO MIGUEL SAJAROFF;3246;0;VILLA DOMINGUEZ (3246-0);VILLA DOMINGUEZ
3248;0;SANTA ANITA (3248-0);SANTA ANITA;3248;1;SAN MARCIAL (3248-1);SAN MARCIAL
3248;1;VILLA SAN MARCIAL (EST. GOBERNADOR URQUIZA) (3248-1);VILLA SAN MARCIAL;3248;0;SANTA ANITA (3248-0);SANTA ANITA
3248;1;VILLA SAN MARCIAL (EST. GOBERNADOR URQUIZA) (3248-1);VILLA SAN MARCIAL;3248;1;SAN MARCIAL (3248-1);SAN MARCIAL
3260;0;VILLA SAN JUSTO (3260-0);VILLA SAN JUSTO;3260;0;CONCEP.DEL URUGUAY (3260-0);CONCEP.DEL URUGUAY
3260;1;CONCEPCION DEL URUGUAY (3260-1);CONCEPCION DEL URUGUAY;3260;0;CONCEP.DEL URUGUAY (3260-0);CONCEP.DEL URUGUAY
3260;1;CONCEPCION DEL URUGUAY (3260-1);CONCEPCION DEL URUGUAY;3260;1;VILLA SAN JUSTO (3260-1);VILLA SAN JUSTO
3263;0;PRONUNCIAMIENTO (3263-0);PRONUNCIAMIENTO;3263;1;COLONIA 1º DE MAYO (3263-1);COLONIA 1º DE MAYO
3263;1;COLONIA 1º DE MAYO (3263-1);COLONIA 1º DE MAYO;3263;0;PRONUNCIAMIENTO (3263-0);PRONUNCIAMIENTO
3265;0;HOCKER (3265-0);HOCKER;3265;0;VILLA ELISA (3265-0);VILLA ELISA
3269;0;LA CLARITA (3269-0);LA CLARITA;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;0;LA CLARITA (3269-0);LA CLARITA;3269;2;ARROYO BARU (3269-2);ARROYO BARU
3269;1;ARROYO BARU (3269-1);ARROYO BARU;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;1;ARROYO BARU (3269-1);ARROYO BARU;3269;1;LA CLARITA (3269-1);LA CLARITA
3269;2;PUEBLO CAZES (3269-2);PUEBLO CAZES;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;2;PUEBLO CAZES (3269-2);PUEBLO CAZES;3269;1;LA CLARITA (3269-1);LA CLARITA
3269;2;PUEBLO CAZES (3269-2);PUEBLO CAZES;3269;2;ARROYO BARU (3269-2);ARROYO BARU
3269;3;HAMBIS (3269-3);HAMBIS;3269;0;SAN MIGUEL (3269-0);SAN MIGUEL
3269;3;HAMBIS (3269-3);HAMBIS;3269;1;LA CLARITA (3269-1);LA CLARITA
3269;3;HAMBIS (3269-3);HAMBIS;3269;2;ARROYO BARU (3269-2);ARROYO BARU
3272;0;VILLA MANTERO (3272-0);VILLA MANTERO;3272;0;HERRERA (3272-0);HERRERA
3272;1;ESTACION HERRERA (3272-1);ESTACION HERRERA;3272;0;HERRERA (3272-0);HERRERA
3272;1;ESTACION HERRERA (3272-1);ESTACION HERRERA;3272;1;VILLA MANTERO (3272-1);VILLA MANTERO
3283;0;EL BRILLANTE (3283-0);EL BRILLANTE;3283;0;SAN JOSE (3283-0);SAN JOSE
3283;1;PUEBLO LIEBIG'S (3283-1);PUEBLO LIEBIG'S;3283;0;SAN JOSE (3283-0);SAN JOSE
3283;1;PUEBLO LIEBIG'S (3283-1);PUEBLO LIEBIG'S;3283;1;EL BRILLANTE (3283-1);EL BRILLANTE
3283;2;SAN JOSE (3283-2);SAN JOSE;3283;1;EL BRILLANTE (3283-1);EL BRILLANTE
